country,iso3c,year,reserves,gdp_real,growth,inflation,current_account,openness,exports,credit,int_rate,ner,vix,fed_rate,tot_index,expo_fob,der_expo_pesos,tax_rate_eff,d_ln_ner,d_ln_res,d_int_rate,std_ner,std_res,std_int,empi_robust,empi,fiscal_primario,fiscal_financiero,brecha_anual,...1,dexmedia,z_ner,z_res,z_int,exceso_brecha,z_brecha,p_ner,p_res,p_int,exceso_bruto,z_bre,exceso,imputed_int,imputed_ner,imputed_res,ln_rentabilidad,ln_gdp,post2011,ARG,stress_ca,stress_high,L1_rent,L2_rent,L3_rent,empi_l1
Argentina,ARG,2005,28081718501.5579,435296589745.339,8.85165992013437,12.3,3.34062302319346,40.5512709706238,23.2458767338576,10.6534929189359,4.06,2.9036575,12.8070634920635,3.21333333333333,59.9299621582,40386,12322.48,10.508044251607,-0.0067422460364992,0.356553425747531,2.13,-0.217493591153108,6.46272337813364,-0.509922197099261,0.807546104085073,0.807546104085073,5.15181762859421,3.34062302319346,0.9956805966607,dexmedia,0.19053252870694,-0.388343095693648,1.45862067044099,0.262731470662269,0.0,-0.563966657224746,-0.0131428343940959,1.62580640840857,0.232306104491077,0.0,0.0,0.0,0,0,0,3.8861266515744615,26.799293451211028,0.0,1.0,3.34062302319346,0.0,3.7214280619125906,3.5727833100533846,3.616011190398529,1.24924926257696
Argentina,ARG,2006,32022297112.9805,470325565798.353,8.04715150043027,9.8,1.65007027501854,40.4334798719151,23.0266946038115,11.9102616607561,7.24,3.05431333333333,12.8065338645418,4.96416666666667,70.1969680786,46545,16164.71,11.3705453576199,0.0505836499841117,0.131313667455672,3.18,0.617517562424562,2.37406447038947,-0.280595266211856,-0.0052290677749923,-0.0052290677749923,3.28604187472942,1.65007027501854,0.999718277734075,dexmedia,0.188843079785997,0.0298988801931494,0.348033938593673,0.383161886561815,0.0,-0.550052228265846,0.0986040158118117,0.598761887123845,0.346823198254283,0.0,0.0,0.0,0,0,0,4.042293128492155,26.876690985037307,0.0,1.0,1.65007027501854,0.0,3.8861266515744615,3.7214280619125906,3.5727833100533846,0.807546104085073
Argentina,ARG,2007,46149456855.7802,512690850741.56,9.00765087504757,25.7,0.756974472382668,40.945170618571,22.6627503115066,13.0985413493544,11.87,3.09564884920635,17.5359362549801,5.01916666666667,75.9243392944,55943,23075.66,13.3246769336921,0.013442729276121,0.365452746835526,4.63,0.0765216777134362,6.62426807483926,0.0532989759292402,0.743156667413676,0.711953631758023,2.5496268350996,0.756974472382668,1.00291595974473,dexmedia,0.233016236553198,-0.241076248701127,1.50250043659653,0.549470556137377,0.0029159597447299,-0.539032556736113,0.0262042594892397,1.66638538538801,0.504965851546331,0.0029159597447299,0.0312030356556526,0.0029159597447299,0,0,0,4.061535945482983,26.962938870329246,0.0,1.0,0.756974472382668,0.0,4.042293128492155,3.8861266515744615,3.7214280619125906,-0.0052290677749923
Argentina,ARG,2008,46385380206.9801,533491913656.279,4.05723310346406,23.0,0.351972891914477,40.4026733790382,22.0609003826242,12.313946714342,9.81,3.14416455988456,32.694861660079,1.9275,93.7876052856,70588,38167.31,17.1971075427549,0.0155506856315522,0.0050991360633254,-2.06,0.107226390382089,0.0829584419617367,-0.0952587214380724,-0.185070559116238,-0.28214404938915,1.86462722070238,0.351972891914477,1.00907162985807,dexmedia,0.325258166540676,-0.225696884532764,-0.274290401450396,-0.21784323659401,0.0090716298580699,-0.517819233313592,0.0303133532748173,0.0232509562114597,-0.22467163157353,0.0090716298580699,0.0970734902729112,0.0090716298580699,0,0,0,4.13857684745857,27.002709750415484,0.0,1.0,0.351972891914477,0.0,4.061535945482983,4.042293128492155,3.8861266515744615,0.711953631758023
Argentina,ARG,2009,48006988635.3253,501917060966.235,-5.91852507634947,14.8,-1.830044406372,34.0571269054879,19.5609850560818,12.4162075416805,9.67,3.71010683052328,31.4790079365079,0.16,73.060760498,55719,23788.08,11.50720001248,0.165512457366636,0.0343622690416083,-0.140000000000001,2.29158532655968,0.614156709210529,-0.105354875628084,0.810917716359017,0.736028463134577,-0.487913723574489,-1.830044406372,1.0069984872666,dexmedia,0.294692800310499,0.868403898391168,-0.130003054205719,0.0023723810508718,0.0069984872666,-0.524963580473871,0.322637709385498,0.156684505549707,-0.0152689458350943,0.0069984872666,0.0748892532244397,0.0069984872666,0,0,0,3.93519549218244,26.94170072578954,0.0,1.0,1.830044406372,0.0,4.13857684745857,4.061535945482983,4.042293128492155,-0.28214404938915
Argentina,ARG,2010,52207549724.0928,552738161802.463,10.1253981561002,25.7,-1.39345466355708,34.9710132635696,18.9338234053709,12.6901062454749,9.0,3.8962951544705,22.5488888888889,0.175,92.8274230957,68249,36894.13,13.8742377696294,0.0489654697510271,0.0838805182813083,-0.67,0.593952277578173,1.51303545240048,-0.153672184965996,0.294092877492659,0.190665091383117,-0.538447899865991,-1.39345466355708,1.00966544614794,dexmedia,0.2977516334761,0.0180928563015572,0.114155930011709,-0.0584163050698508,0.0096654461479399,-0.515772857081819,0.0954496552755603,0.382476998717569,-0.0730728122108081,0.0096654461479399,0.103427786109542,0.0096654461479399,0,0,0,4.167654930031108,27.038150239543654,0.0,1.0,1.39345466355708,0.0,3.93519549218244,4.13857684745857,4.061535945482983,0.736028463134577
Argentina,ARG,2011,46265800525.8806,585924294024.785,6.00395169280579,22.5,-2.74564845953819,35.2061549999644,18.4492091453155,14.0087151168124,21.3,4.11013957621326,24.2025793650794,0.101666666666667,109.8523330688,83950,56641.76,16.415702343592,0.0534308468356339,-0.120824076553141,12.3,0.658996628265225,-2.20285942989423,0.733347076013589,-1.82047153289761,-2.27369276725581,-1.5873710974387,-2.74564845953819,1.04235404815832,dexmedia,0.296248877837286,0.0506716429335899,-0.895178339814389,1.42918607037501,0.04235404815832,-0.403123239102208,0.104154130195709,-0.550931624169102,1.34148595551185,0.04235404815832,0.453221234358191,0.04235404815832,0,0,0,4.306324869178086,27.096456427093553,1.0,1.0,2.74564845953819,0.0,4.167654930031108,3.93519549218244,4.13857684745857,0.190665091383117
Argentina,ARG,2012,43223270863.843,579910247223.428,-1.0264204544321,25.2,-3.01805560014323,30.5265423717108,16.2378594620246,15.2128150156924,25.4,4.53693436018746,17.79888,0.14,100.0,80947,61405.35,16.7202573362781,0.0987945448278245,-0.0680240109879371,4.1,1.31977431649456,-1.24440760043124,1.02902016300678,1.65116441781963,-0.741880575164343,-1.69581861459304,-3.01805560014323,1.22363282034082,dexmedia,0.295263247974915,0.381639041593424,-0.634837746741113,0.488681870016654,0.22363282034082,0.221589449060075,0.192582758725069,-0.310174759246747,0.447161985170617,0.22363282034082,2.39304499298398,0.22363282034082,0,0,0,4.0534150829992734,27.08613918234595,1.0,1.0,3.01805560014323,0.0,4.306324869178086,4.167654930031108,3.93519549218244,-2.27369276725581
Argentina,ARG,2013,30533919650.6263,593858966307.156,2.40532378079436,27.9,-3.25382842728551,29.3339290021037,14.6171733884386,15.7290920133564,28.5,5.45935266465704,14.230119047619,0.1075,102.06590271,83026,68069.96,15.0175895523017,0.185078690232901,-0.347540842260209,3.1,2.57661382673082,-6.31832967667908,1.25257786292847,4.37206546515617,-1.37587748437487,-2.63968436995308,-3.25382842728551,1.53715191178203,dexmedia,0.289481515990244,1.01115648426799,-2.01304773281625,0.373986235826611,0.53715191178203,1.3020212726343,0.360778672632096,-1.58471097941561,0.338098086348515,0.53715191178203,5.74794294953104,0.53715191178203,0,0,0,3.8539270971352115,27.10990769765865,1.0,1.0,3.25382842728551,0.0,4.0534150829992734,4.306324869178086,4.167654930031108,-0.741880575164343
Argentina,ARG,2014,31410813269.5239,578937574935.696,-2.51261532081394,38.5,-4.2524290852903,28.4067936452275,14.4054785893756,13.8237692455151,-11.6006987702162,8.07527599281334,14.1759920634921,0.0891666666666667,95.8531951904,71935,73562.14,12.6635868301883,0.39147682405977,0.0283140199137542,-40.1006987702162,5.5830858322255,0.504366022786451,-1.63929955072374,10.8461850060109,6.93812955392935,-3.50002653962119,-4.2524290852903,1.36521229870715,dexmedia,0.283093171233291,2.51700932396997,-0.159825077116959,-4.58094530707634,0.36521229870715,0.709492668251131,0.763115887478899,0.12910579929804,-4.37353855337044,0.36521229870715,3.90805545208154,0.36521229870715,0,0,0,3.9186984647657828,27.084460493397238,1.0,1.0,4.2524290852903,1.0,3.8539270971352115,4.0534150829992734,4.306324869178086,-1.37587748437487
